trigger_idx,full_rel_err,mat_only_rel_err,mat_geo_rel_err,mat_st_rel_err,share_mat,share_geo,share_st,best_combo,full_comp_x_pct,full_comp_y_pct,full_comp_z_pct,full_comp_tx_pct,full_comp_ty_pct,full_comp_tz_pct,mat_only_comp_x_pct,mat_only_comp_y_pct,mat_only_comp_z_pct,mat_only_comp_tx_pct,mat_only_comp_ty_pct,mat_only_comp_tz_pct,mat_geo_comp_x_pct,mat_geo_comp_y_pct,mat_geo_comp_z_pct,mat_geo_comp_tx_pct,mat_geo_comp_ty_pct,mat_geo_comp_tz_pct,mat_st_comp_x_pct,mat_st_comp_y_pct,mat_st_comp_z_pct,mat_st_comp_tx_pct,mat_st_comp_ty_pct,mat_st_comp_tz_pct
0,5.125800e-01,4.037300e-01,4.054000e-01,5.112900e-01,9.500000e-01,0.000000e+00,3.200000e-01,mat_only,5.880000e+01,7.970000e+01,1.370000e+01,0.000000e+00,0.000000e+00,0.000000e+00,8.940000e+01,3.840000e+01,2.320000e+01,0.000000e+00,0.000000e+00,0.000000e+00,8.940000e+01,3.840000e+01,2.310000e+01,0.000000e+00,0.000000e+00,0.000000e+00,5.870000e+01,7.980000e+01,1.370000e+01,0.000000e+00,0.000000e+00,0.000000e+00
1,5.602900e-01,4.400900e-01,4.415800e-01,5.591200e-01,9.300000e-01,0.000000e+00,3.600000e-01,mat_only,6.300000e+01,7.310000e+01,2.620000e+01,0.000000e+00,0.000000e+00,0.000000e+00,9.320000e+01,2.130000e+01,2.920000e+01,0.000000e+00,0.000000e+00,0.000000e+00,9.330000e+01,2.140000e+01,2.910000e+01,0.000000e+00,0.000000e+00,0.000000e+00,6.290000e+01,7.320000e+01,2.630000e+01,0.000000e+00,0.000000e+00,0.000000e+00
2,5.558600e-01,4.373500e-01,4.388400e-01,5.546900e-01,9.300000e-01,0.000000e+00,3.600000e-01,mat_only,6.300000e+01,7.280000e+01,2.710000e+01,0.000000e+00,0.000000e+00,0.000000e+00,9.320000e+01,2.040000e+01,3.010000e+01,0.000000e+00,0.000000e+00,0.000000e+00,9.320000e+01,2.040000e+01,3.000000e+01,0.000000e+00,0.000000e+00,0.000000e+00,6.280000e+01,7.290000e+01,2.720000e+01,0.000000e+00,0.000000e+00,0.000000e+00
3,8.679300e-01,8.128500e-01,8.150900e-01,8.658300e-01,9.000000e-01,0.000000e+00,5.100000e-01,mat_only,8.130000e+01,5.540000e+01,1.800000e+01,0.000000e+00,0.000000e+00,0.000000e+00,9.460000e+01,2.300000e+01,2.300000e+01,0.000000e+00,0.000000e+00,0.000000e+00,9.460000e+01,2.300000e+01,2.300000e+01,0.000000e+00,0.000000e+00,0.000000e+00,8.130000e+01,5.540000e+01,1.800000e+01,0.000000e+00,0.000000e+00,0.000000e+00
4,8.682000e-01,8.139600e-01,8.161900e-01,8.661000e-01,9.000000e-01,0.000000e+00,5.000000e-01,mat_only,8.210000e+01,5.500000e+01,1.570000e+01,0.000000e+00,0.000000e+00,0.000000e+00,9.520000e+01,2.260000e+01,2.040000e+01,0.000000e+00,0.000000e+00,0.000000e+00,9.520000e+01,2.260000e+01,2.040000e+01,0.000000e+00,0.000000e+00,0.000000e+00,8.200000e+01,5.500000e+01,1.570000e+01,0.000000e+00,0.000000e+00,0.000000e+00
5,3.615300e-01,2.667100e-01,2.681500e-01,3.604800e-01,9.500000e-01,0.000000e+00,2.900000e-01,mat_only,4.520000e+01,7.770000e+01,4.370000e+01,0.000000e+00,0.000000e+00,0.000000e+00,8.080000e+01,1.150000e+01,5.780000e+01,0.000000e+00,0.000000e+00,0.000000e+00,8.100000e+01,1.150000e+01,5.750000e+01,0.000000e+00,0.000000e+00,0.000000e+00,4.490000e+01,7.790000e+01,4.390000e+01,0.000000e+00,0.000000e+00,0.000000e+00
6,3.644400e-01,2.680600e-01,2.694700e-01,3.634000e-01,9.500000e-01,0.000000e+00,2.900000e-01,mat_only,4.540000e+01,7.770000e+01,4.360000e+01,0.000000e+00,0.000000e+00,0.000000e+00,8.040000e+01,1.400000e+01,5.780000e+01,0.000000e+00,0.000000e+00,0.000000e+00,8.060000e+01,1.400000e+01,5.750000e+01,0.000000e+00,0.000000e+00,0.000000e+00,4.510000e+01,7.780000e+01,4.380000e+01,0.000000e+00,0.000000e+00,0.000000e+00
7,5.707200e-01,5.605600e-01,5.625200e-01,5.688100e-01,8.900000e-01,0.000000e+00,1.300000e-01,mat_only,8.260000e+01,3.000000e+01,4.770000e+01,0.000000e+00,0.000000e+00,0.000000e+00,8.550000e+01,1.310000e+01,5.010000e+01,0.000000e+00,0.000000e+00,0.000000e+00,8.560000e+01,1.320000e+01,5.000000e+01,0.000000e+00,0.000000e+00,0.000000e+00,8.260000e+01,3.000000e+01,4.780000e+01,0.000000e+00,0.000000e+00,0.000000e+00
8,5.802900e-01,5.699100e-01,5.718900e-01,5.783700e-01,8.900000e-01,0.000000e+00,1.300000e-01,mat_only,8.400000e+01,2.980000e+01,4.530000e+01,0.000000e+00,0.000000e+00,0.000000e+00,8.690000e+01,1.320000e+01,4.770000e+01,0.000000e+00,0.000000e+00,0.000000e+00,8.690000e+01,1.320000e+01,4.760000e+01,0.000000e+00,0.000000e+00,0.000000e+00,8.400000e+01,2.980000e+01,4.540000e+01,0.000000e+00,0.000000e+00,0.000000e+00
9,4.880100e-01,2.950700e-01,2.963200e-01,4.872000e-01,8.800000e-01,0.000000e+00,3.900000e-01,mat_only,3.960000e+01,8.700000e+01,2.920000e+01,0.000000e+00,0.000000e+00,0.000000e+00,8.040000e+01,2.240000e+01,5.510000e+01,0.000000e+00,0.000000e+00,0.000000e+00,8.050000e+01,2.250000e+01,5.490000e+01,0.000000e+00,0.000000e+00,0.000000e+00,3.950000e+01,8.710000e+01,2.920000e+01,0.000000e+00,0.000000e+00,0.000000e+00
