trigger_idx,full_rel_err,fc_rel_err,directional_ratio,deriv_agreement,full_comp_x_pct,full_comp_y_pct,full_comp_z_pct,full_comp_tx_pct,full_comp_ty_pct,full_comp_tz_pct,fc_comp_x_pct,fc_comp_y_pct,fc_comp_z_pct,fc_comp_tx_pct,fc_comp_ty_pct,fc_comp_tz_pct
0,1.000000e+00,7.400500e-01,1.000001e+00,2.541800e-02,2.200000e+01,9.000000e+00,9.700000e+01,0.000000e+00,1.000000e+00,0.000000e+00,9.400000e+01,3.200000e+01,1.000000e+01,0.000000e+00,0.000000e+00,0.000000e+00
1,1.000100e+00,8.534400e-01,1.000003e+00,1.602000e-01,2.600000e+01,7.000000e+00,9.600000e+01,1.000000e+00,2.000000e+00,0.000000e+00,9.600000e+01,1.900000e+01,2.200000e+01,0.000000e+00,0.000000e+00,0.000000e+00
2,1.000000e+00,8.475000e-01,1.000001e+00,1.519800e-01,2.500000e+01,8.000000e+00,9.700000e+01,0.000000e+00,1.000000e+00,0.000000e+00,9.500000e+01,1.900000e+01,2.300000e+01,0.000000e+00,0.000000e+00,0.000000e+00
3,1.000200e+00,1.621200e+00,1.000001e+00,7.330100e-01,2.700000e+01,5.000000e+00,9.600000e+01,1.000000e+00,2.000000e+00,0.000000e+00,9.500000e+01,2.300000e+01,2.200000e+01,0.000000e+00,0.000000e+00,0.000000e+00
4,1.000100e+00,1.627400e+00,9.999930e-01,7.360100e-01,2.700000e+01,8.000000e+00,9.600000e+01,1.000000e+00,2.000000e+00,0.000000e+00,9.500000e+01,2.300000e+01,1.900000e+01,0.000000e+00,0.000000e+00,0.000000e+00
5,1.000000e+00,4.311400e-01,9.999970e-01,2.261900e-01,2.700000e+01,8.000000e+00,9.600000e+01,0.000000e+00,1.000000e+00,0.000000e+00,9.100000e+01,1.700000e+01,3.700000e+01,0.000000e+00,0.000000e+00,0.000000e+00
6,1.000000e+00,4.308800e-01,1.000001e+00,2.243800e-01,2.500000e+01,7.000000e+00,9.600000e+01,0.000000e+00,1.000000e+00,0.000000e+00,9.100000e+01,1.900000e+01,3.700000e+01,0.000000e+00,0.000000e+00,0.000000e+00
7,1.000300e+00,1.106500e+00,1.000000e+00,1.354000e-01,2.700000e+01,7.000000e+00,9.600000e+01,1.000000e+00,2.000000e+00,0.000000e+00,8.600000e+01,1.100000e+01,5.000000e+01,0.000000e+00,0.000000e+00,0.000000e+00
8,1.000100e+00,1.124100e+00,9.999950e-01,1.617100e-01,3.000000e+01,7.000000e+00,9.500000e+01,1.000000e+00,2.000000e+00,0.000000e+00,8.700000e+01,1.100000e+01,4.800000e+01,0.000000e+00,0.000000e+00,0.000000e+00
9,1.000000e+00,5.246200e-01,1.000001e+00,2.876900e-01,3.100000e+01,8.000000e+00,9.500000e+01,0.000000e+00,1.000000e+00,0.000000e+00,9.100000e+01,2.400000e+01,3.400000e+01,0.000000e+00,0.000000e+00,0.000000e+00
